Date,BTC Open,BTC High,BTC Low,BTC Close,BTC Volume,ETH Price,XRP Price,LTC Price,Oil price,Gold Price,DJI Price
2019/6/26,11778.58106,13796.48926,11755.59766,13016.23145,45105733173,336.753174,0.469946618,136.4116606,59.38 ,1415.40 ,26536.82 
2019/6/27,13017.125,13311.14453,10491.85254,11182.80664,39977475222,294.267639,0.465670987,131.5802422,59.43 ,1412.00 ,26526.58 
2019/6/28,11162.16797,12445.17481,10914.49512,12407.33203,35087757765,311.226105,0.408621436,115.1483045,58.47 ,1413.70 ,26599.96 
2019/6/29,12400.76367,12400.91016,11508.37891,11959.37109,29923961127,320.058929,0.424197998,119.6398059,58.68 ,1405.57 ,26639.12 
2019/6/30,11931.99121,12178.38379,10799.00879,10817.15527,27256473494,290.695984,0.42896031,133.9562103,58.88 ,1397.43 ,26678.27 
2019/7/1,10796.93066,11206.43945,10089.31445,10583.13477,29378589324,293.641113,0.396437489,122.5668431,59.09 ,1389.30 ,26717.43 
2019/7/2,10588.68359,10912.18848,9737.884766,10801.67773,31015895222,291.596436,0.407288327,123.1704588,56.25 ,1408.00 ,26786.68 
2019/7/3,10818.15625,11968.07813,10818.15625,11961.26953,30796494293,303.099976,0.398830334,118.2395857,57.34 ,1420.90 ,26966.00 
2019/7/4,11972.71875,12006.0752,11166.56934,11215.4375,25920294033,284.523224,0.407872151,121.7779625,56.80 ,1400.10 ,26944.06 
2019/7/5,11203.10254,11395.66113,10874.96484,10978.45996,23838480210,287.997528,0.389542274,120.3834261,57.51 ,1403.40 ,26922.12 
2019/7/6,10982.54395,11620.96484,10982.54395,11208.55078,21092024306,287.547119,0.379429422,118.4881858,57.56 ,1402.27 ,26883.46 
2019/7/7,11217.61621,11541.62012,11148.80469,11450.84668,19369044276,305.700562,0.391589516,118.665648,57.61 ,1401.13 ,26844.80 
2019/7/8,11446.59668,12345.83301,11393.37402,12285.95801,23482551458,313.251404,0.395821331,119.8995788,57.66 ,1400.00 ,26806.14 
2019/7/9,12284.32617,12779.13184,12233.26172,12573.8125,28167921522,308.881012,0.401872942,123.1905823,57.83 ,1400.50 ,26783.49 
2019/7/10,12571.53711,13129.5293,11710.97852,12156.5127,33627574244,290.002319,0.394683588,119.1856668,60.43 ,1412.50 ,26860.20 
2019/7/11,12139.71387,12144.62305,11158.92285,11358.66211,28595327690,268.704041,0.363827963,108.4878152,60.20 ,1406.70 ,27088.08 
2019/7/12,11354.29981,11905.48731,11179.14453,11815.98633,23534692796,276.276703,0.332173294,102.2855933,60.21 ,1412.20 ,27332.03 
2019/7/13,11813.12695,11841.95703,10908.47949,11392.37891,21042616383,269.458801,0.344769613,105.2257191,60.00 ,1412.63 ,27341.07 
2019/7/14,11381.02051,11451.2041,10234.57617,10256.05859,22486000001,227.578064,0.333168088,101.3657094,59.79 ,1413.07 ,27350.12 
